X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.0075196,0.01436,0.10122,0.036432,0.15165,0.2896,2.0413,0.73471,0,0
0.010427,0.019564,0.13276,0.049018,0.21028,0.39453,2.6772,0.98853,0,0
0.012785,0.024489,0.16843,0.061982,0.25783,0.49387,3.3968,1.25,0,0
0.015295,0.029406,0.20154,0.075608,0.30845,0.59301,4.0645,1.5248,0,0
0.018858,0.035111,0.23494,0.089219,0.32312,0.60078,4.0109,1.5702,0,0
0.02263,0.041364,0.26779,0.10188,0.3487,0.63772,3.9753,1.5788,0,0
0.02697,0.048691,0.30113,0.11507,0.39225,0.69233,4.0315,1.586,0,0
0.031537,0.056617,0.33637,0.12728,0.42571,0.74725,4.1062,1.5782,0,0
0.034633,0.062942,0.37138,0.13811,0.44061,0.77546,4.0928,1.5352,0,0
0.037191,0.068535,0.40484,0.14966,0.44158,0.78912,4.0999,1.4934,0,0
0.040559,0.074171,0.43822,0.16227,0.43764,0.78772,4.0995,1.4732,0,0
0.043645,0.079316,0.47508,0.17531,0.42381,0.76538,4.1803,1.4807,0,0
0.046957,0.084366,0.51139,0.18876,0.40306,0.71946,4.2403,1.4859,0,0
0.050325,0.089659,0.5438,0.20191,0.37889,0.66635,4.1831,1.5051,0,0
0.052939,0.094471,0.57506,0.21454,0.36916,0.63584,4.1074,1.5413,0,0
0.055502,0.099403,0.60607,0.22786,0.36927,0.6225,4.0582,1.5769,0,0
0.058204,0.10531,0.64215,0.24145,0.35584,0.62789,4.1125,1.5967,0,0
0.061926,0.11252,0.6816,0.25439,0.36867,0.66965,4.1649,1.5949,0,0
0.065209,0.11878,0.71894,0.26746,0.36808,0.69399,4.1856,1.5872,0,0
0.068144,0.12421,0.75115,0.28041,0.35934,0.69672,4.1815,1.5832,0,0
0.071125,0.12972,0.78381,0.29367,0.36677,0.71076,4.2098,1.5959,0,0
0.074993,0.13539,0.81939,0.3068,0.39306,0.72579,4.3019,1.5921,0,0
0.078294,0.14068,0.85401,0.31959,0.40515,0.71334,4.2725,1.5759,0,0
0.081338,0.14578,0.88615,0.33253,0.39147,0.67071,4.125,1.5759,0,0
0.085065,0.15137,0.91728,0.3451,0.40043,0.65717,4,1.5656,0,0
0.089273,0.15822,0.94878,0.35791,0.4261,0.68589,3.9856,1.5628,0,0
0.093179,0.16469,0.98152,0.37056,0.44475,0.70528,3.9872,1.5505,0,0
0.097043,0.17154,1.0164,0.38471,0.44468,0.72897,3.9738,1.5711,0,0
0.10177,0.17883,1.051,0.39852,0.47345,0.76935,3.9722,1.5917,0,0
0.10564,0.18493,1.0848,0.41073,0.49009,0.78945,4.0054,1.5769,0,0
0.10889,0.19018,1.1167,0.42179,0.4805,0.78282,4.022,1.5467,0,0
0.11105,0.19434,1.1482,0.43472,0.43908,0.72842,4.0215,1.549,0,0
0.11382,0.19947,1.1808,0.4479,0.41616,0.70145,4.0197,1.5598,0,0
0.11719,0.20522,1.2116,0.45948,0.40623,0.6792,3.9361,1.5078,0,0
0.12116,0.21098,1.2397,0.47175,0.39097,0.64843,3.8053,1.4768,0,0
0.12519,0.21709,1.2703,0.48544,0.39431,0.64857,3.7417,1.5066,0,0
0.12926,0.22387,1.302,0.49884,0.41078,0.67925,3.7369,1.5537,0,0
0.13343,0.23154,1.3345,0.51154,0.45144,0.75015,3.7579,1.5492,0,0
0.13779,0.23853,1.3659,0.52548,0.48343,0.78769,3.7329,1.5644,0,0
0.14128,0.24424,1.4,0.53803,0.48582,0.78689,3.7985,1.584,0,0
0.14482,0.24986,1.4325,0.55149,0.47727,0.78403,3.8888,1.6083,0,0
0.14838,0.25561,1.4644,0.56714,0.46761,0.77681,3.9138,1.6477,0,0
0.15527,0.26763,1.5347,0.59717,0.44041,0.72791,4.036,1.7269,0,0
0.15877,0.27359,1.5755,0.61195,0.42313,0.70706,4.2266,1.744,0,0
0.16391,0.2809,1.609,0.6259,0.45641,0.73939,4.2161,1.7722,0,0
0.169,0.28755,1.6409,0.63951,0.48756,0.76005,4.203,1.775,0,0
0.17252,0.29265,1.6794,0.65357,0.48672,0.74703,4.3368,1.743,0,0
0.1752,0.29758,1.7127,0.66806,0.46889,0.71809,4.351,1.7375,0,0
0.17787,0.30221,1.7472,0.68295,0.45588,0.69739,4.2865,1.7299,0,0
0.18168,0.30806,1.7827,0.69621,0.46199,0.69506,4.1782,1.6992,0,0
0.18496,0.31374,1.8141,0.7088,0.42452,0.66214,4.1363,1.6717,0,0
0.1883,0.3197,1.8465,0.72193,0.38922,0.64836,4.1464,1.6622,0,0
0.1922,0.32645,1.8767,0.73632,0.39704,0.68159,3.9786,1.6688,0,0
0.19587,0.33288,1.9073,0.74869,0.41696,0.71181,3.9238,1.626,0,0
0.19892,0.33853,1.9419,0.76388,0.42451,0.73245,3.9259,1.6321,0,0
0.20259,0.34447,1.9747,0.7808,0.42183,0.73432,3.8718,1.7058,0,0
0.2064,0.35012,2.0067,0.79498,0.43247,0.73377,3.8834,1.738,0,0
0.20911,0.35525,2.0438,0.80887,0.41959,0.71704,3.9776,1.7531,0,0
0.212,0.3606,2.0795,0.82348,0.39918,0.68871,4.0889,1.7576,0,0
0.21586,0.3663,2.1126,0.83806,0.40301,0.67394,4.1405,1.8023,0,0
0.2196,0.37205,2.1458,0.85247,0.41694,0.67587,4.1126,1.7867,0,0
0.2235,0.37841,2.1785,0.86551,0.42154,0.68438,4.1094,1.7084,0,0
0.22709,0.38522,2.2142,0.87857,0.41707,0.70775,4.1851,1.6858,0,0
0.23031,0.39177,2.2575,0.89309,0.42758,0.73639,4.3103,1.6984,0,0
0.23443,0.39915,2.3627,0.92035,0.45243,0.77739,5.7124,1.9537,0,0
0.23906,0.4073,2.6134,0.96517,0.46793,0.82686,10.099,2.5635,0,0
0.24283,0.41462,3.0049,1.0409,0.46854,0.85864,17.325,3.8006,0,0
0.24632,0.42207,3.4107,1.1291,0.46034,0.88054,24.849,5.3168,0,0
0.24984,0.43119,3.8773,1.2176,0.45896,0.92718,33.539,6.8369,0,0
0.25349,0.44049,4.3929,1.3078,0.46756,0.98251,43.064,8.3634,0,0
0.25686,0.45099,4.9161,1.3945,0.45229,1.0455,51.494,9.5614,0,0
0.26079,0.46259,5.5242,1.4871,0.43833,1.115,58.701,10.525,0,0
0.26422,0.47173,6.1475,1.5866,0.43134,1.1517,63.376,11.004,0,0
0.26805,0.48275,6.799,1.6914,0.43816,1.2237,68.332,11.338,0,0
0.2738,0.49674,7.4393,1.7822,0.48314,1.3218,71.833,11.386,0,0
0.27824,0.50945,8.0651,1.8673,0.49914,1.3907,74.056,11.283,0,0
0.28192,0.52154,8.513,1.9211,0.50547,1.4227,72.537,10.621,0,0
0.28498,0.53142,8.81,1.9612,0.48774,1.3883,66.265,9.5624,0,0
0.28884,0.54089,9.1722,2.0182,0.49642,1.3946,60.997,8.7044,0,0
0.29266,0.55074,9.482,2.064,0.49625,1.3712,54.108,7.5138,0,0
0.29578,0.55995,9.6805,2.0936,0.44333,1.2747,45.198,6.2799,0,0
0.2981,0.56608,9.8609,2.124,0.40039,1.1422,36.215,5.1773,0,0
0.30041,0.57198,10.056,2.1555,0.37285,1.0172,31.107,4.7275,0,0
0.30351,0.57866,10.278,2.1955,0.37366,0.95254,29.601,4.724,0,0
0.30634,0.58434,10.497,2.2379,0.35304,0.87639,26.713,4.43,0,0
0.30885,0.59117,10.733,2.2838,0.32648,0.81529,25.219,4.4341,0,0
0.31221,0.59867,10.971,2.3351,0.33124,0.78101,26.024,4.8696,0,0
0.31546,0.60589,11.238,2.388,0.35006,0.80274,27.777,5.3237,0,0
0.31873,0.61321,11.503,2.433,0.36944,0.83155,29.197,5.5962,0,0
0.32275,0.62124,11.762,2.4875,0.38814,0.85873,29.922,5.889,0,0
0.32605,0.6289,12.073,2.5517,0.39746,0.89854,31.777,6.3284,0,0
0.32949,0.63762,12.451,2.6161,0.41621,0.93677,34.65,6.7011,0,0
0.33261,0.64685,12.834,2.6926,0.41135,0.97152,37.571,7.211,0,0
0.33473,0.65305,13.214,2.7852,0.38872,0.95112,39.853,8.0089,0,0
0.33671,0.65936,13.671,2.8709,0.36249,0.93065,43.719,8.8305,0,0
0.33904,0.66723,14.072,2.9536,0.3284,0.92747,46.602,9.4002,0,0
0.34142,0.67474,14.433,3.0238,0.31,0.92446,47.602,9.5209,0,0
0.34379,0.68212,14.866,3.105,0.28839,0.89729,48.705,9.858,0,0
0.34657,0.69117,15.383,3.2014,0.28164,0.89386,51.401,10.261,0,0
0.35007,0.70074,15.845,3.2905,0.3093,0.96165,53.041,10.191,0,0
0.35274,0.70798,16.226,3.3839,0.32345,0.98047,51.526,10.346,0,0
0.35528,0.71555,16.641,3.4899,0.32751,0.97438,51.79,10.815,0,0
0.35934,0.72585,17.096,3.5965,0.3614,1.0307,53.697,11.549,0,0
0.36385,0.73581,17.565,3.7034,0.40464,1.0828,54.429,12.068,0,0
0.36758,0.74547,18.136,3.815,0.42368,1.095,55.527,12.374,0,0
0.37249,0.75732,18.724,3.9363,0.45219,1.1411,58.073,13.024,0,0
0.37856,0.77123,19.261,4.053,0.52061,1.2757,61.192,13.493,0,0
0.38357,0.78391,19.87,4.1753,0.57045,1.3787,65.127,13.823,0,0
0.38721,0.79623,20.585,4.3135,0.562,1.4194,70.376,14.459,0,0
0.39155,0.80726,21.318,4.4565,0.55856,1.4409,75.692,15.187,0,0
0.39486,0.81668,22.02,4.5997,0.55017,1.4361,78.331,15.823,0,0
0.39871,0.82664,22.773,4.7653,0.52882,1.3981,81.647,16.718,0,0
0.40302,0.83554,23.719,4.9459,0.49322,1.297,89.907,18.006,0,0
0.40881,0.8474,24.612,5.1048,0.50899,1.2804,95.637,18.746,0,0
0.41723,0.86446,25.452,5.2494,0.60528,1.3759,98.14,18.874,0,0
0.42322,0.87799,26.327,5.4019,0.6386,1.4265,101.02,19.067,0,0
0.42764,0.88977,27.232,5.5675,0.66095,1.4738,105.09,19.517,0,0
0.43429,0.90326,28.098,5.7514,0.71735,1.5451,107.4,19.886,0,0
0.43821,0.91318,28.855,5.9113,0.76693,1.6729,104.32,19.698,0,0
0.43994,0.92075,29.835,6.1064,0.73565,1.6755,106.76,20.675,0,0
0.44157,0.92894,31.247,6.3561,0.64253,1.5899,118.91,23.053,0,0
0.4429,0.9363,32.442,6.554,0.60716,1.5704,125.98,24.221,0,0
0.44617,0.94446,33.432,6.6963,0.63162,1.5968,128.44,24.016,0,0
0.44954,0.95638,34.375,6.8408,0.61617,1.6642,130.65,23.495,0,0
0.45562,0.97876,35.346,7.0282,0.67417,1.9234,134.9,24.094,0,0
0.46052,0.99595,36.304,7.1885,0.76367,2.1544,134.42,23.401,0,0
0.46335,1.0037,37.236,7.3377,0.83156,2.1992,124.82,21.381,0,0
0.465,1.0103,38.208,7.4994,0.87152,2.2405,120.4,20.644,0,0
0.46767,1.02,39.508,7.7148,0.87418,2.2996,126.61,22.075,0,0
0.47085,1.0321,40.869,7.9229,0.87125,2.3162,135.07,23.316,0,0
0.47505,1.044,42.139,8.1185,0.82958,2.1032,141.1,23.461,0,0
0.47869,1.0528,43.425,8.3352,0.79028,1.9121,147.79,24.605,0,0
0.48149,1.0642,44.575,8.5257,0.76877,1.9404,152.25,25.445,0,0
0.48333,1.0726,45.607,8.6794,0.7485,1.9214,153.39,25.302,0,0
0.48675,1.0834,46.528,8.829,0.75383,1.914,145.69,24.011,0,0
0.48959,1.0936,47.575,8.9838,0.74716,1.8625,139.28,22.971,0,0
0.49175,1.0994,48.646,9.1496,0.69262,1.7445,135.34,22.392,0,0
0.51302,1.1414,49.618,9.3073,1.0609,2.457,129.07,21.199,0,0
0.5496,1.2189,50.713,9.4741,1.7417,3.8133,127.95,20.712,0,0
0.55782,1.2437,51.585,9.6225,1.8616,4.1485,124.74,20.602,0,0
0.55911,1.2498,52.059,9.7134,1.8261,4.0665,115.75,19.431,0,0
0.55977,1.254,52.432,9.77,1.8083,3.96,102.26,17.447,0,0
0.5604,1.257,52.802,9.8194,1.7894,3.8915,88.072,15.083,0,0
0.56168,1.2612,53.017,9.8623,1.3728,3.0859,72.655,12.77,0,0
0.56353,1.2725,53.426,9.9884,0.68131,1.7393,58.711,11.939,0,0
0.5664,1.2892,53.936,10.149,0.5991,1.602,51.387,12.172,0,0
0.57529,1.3189,54.72,10.387,0.77098,2.0985,57.645,15.133,0,0
0.593,1.372,55.816,10.693,1.1149,3.1098,72.211,20.188,0,0
0.61457,1.452,57.245,11.09,1.566,4.7037,93.578,27.208,0,0
0.6378,1.5255,58.643,11.415,2.0251,6.1202,117.46,32.88,0,0
0.66364,1.5928,60.117,11.744,2.4993,7.241,138.96,36.954,0,0
0.69067,1.6531,61.913,12.131,2.9452,8.0668,164.9,41.527,0,0
0.73249,1.7331,63.939,12.609,3.5864,9.0556,189.93,46.371,0,0
0.80404,1.8566,66.25,13.237,4.6622,10.452,214.36,52.81,0,0
0.85114,1.9901,69.344,13.928,5.1618,11.499,247.79,58.725,0,0
0.8973,2.1706,72.092,14.516,5.6276,13.658,274.98,64.048,0,0
0.9449,2.3167,75.289,15.178,6.083,15.278,309.71,70.811,0,0
1.0065,2.4874,79.093,16.01,6.8203,17.577,350.22,79.776,0,0
1.0474,2.6284,82.783,16.871,6.834,18.842,383.76,87.513,0,0
1.0985,2.7573,86.006,17.97,6.4233,18.951,402.21,97.027,0,0
1.1816,2.967,89.613,19.03,7.1418,20.484,412.66,104.5,0,0
1.2963,3.2002,92.804,19.916,8.5143,21.54,421.6,110.56,0,0
1.5457,3.5101,96.07,20.915,12.573,24.835,423.02,117.37,0,0
1.6777,3.7161,98.629,21.713,13.977,25.505,398.01,116.75,0,0
1.7974,3.9258,101.61,22.714,15.548,26.87,383.92,119.59,0,0
1.9012,4.1405,105,23.881,16.644,28.634,387.17,120.97,0,0
1.9661,4.3288,107.8,24.679,16.308,28.225,370.96,115.7,0,0
2.044,4.4771,110.86,25.399,15.564,26.498,368.48,112.32,0,0
2.119,4.6251,115.01,26.289,12.031,23.205,386.35,110.09,0,0
2.1736,4.7848,118.59,27.14,10.456,22.25,406.92,111.17,0,0
2.2533,4.9789,121.37,27.99,9.6563,21.934,402.61,108.1,0,0
2.3386,5.1736,124.44,28.872,9.2452,21.495,396.19,102.33,0,0
2.4104,5.3342,127.44,29.563,9.3484,20.924,400.24,100.15,0,0
2.4753,5.4913,130.38,30.158,9.0955,21.134,397.7,97.636,0,0
2.5323,5.6317,133.63,30.983,8.7527,21.012,379.29,96.295,0,0
2.5849,5.7687,136.98,31.933,8.7178,20.573,374.71,98.29,0,0
2.6666,5.9352,139.77,32.741,8.7567,20.019,374.96,97.522,0,0
2.8307,6.1576,143.07,33.738,10.357,20.579,379.72,99.87,0,0
2.9963,6.3836,146.55,34.738,12.236,21.879,389.4,106.11,0,0
3.1225,6.5854,150.83,35.783,13.451,22.753,416.47,115.2,0,0
3.2606,6.8099,155.56,36.861,15.091,24.434,446.56,120.35,0,0
3.3681,7.0544,159.53,37.948,16.213,26.605,458.9,123.08,0,0
3.4865,7.3079,162.85,38.929,16.956,28.368,469.52,126.5,0,0
3.5625,7.4573,166.3,39.837,15.175,26.918,472.7,124.69,0,0
3.6089,7.5705,169.49,40.642,12.782,24.673,466.87,120.76,0,0
3.6642,7.7371,172.6,41.432,11.377,24.002,444.74,115.87,0,0
3.7274,7.904,175.72,42.283,9.8803,22.89,416.63,111.9,0,0
3.7774,8.0287,178.08,43.111,8.7217,20.507,391.31,107.92,0,0
3.8408,8.1675,180.23,43.829,7.6046,18.216,375.41,104.13,0,0
3.902,8.3195,182.7,44.62,7.3057,18.315,364.09,103.29,0,0
3.9721,8.5022,185.42,45.507,7.7923,19.771,364.38,106.48,0,0
4.05,8.6842,188.19,46.299,8.2327,20.146,365.94,107.71,0,0
4.0914,8.8272,191.06,47.163,7.7791,19.735,367.98,108.94,0,0
4.1202,8.9302,193.72,48.005,7.3437,19.332,378.9,109.7,0,0
4.1828,9.092,196.1,48.695,7.3352,19.868,388.31,109.47,0,0
4.2722,9.2963,198.65,49.478,7.9488,21.02,393.59,109.36,0,0
4.363,9.4718,201.62,50.275,8.3815,20.945,400.63,107.43,0,0
4.5302,9.75,205.68,51.474,10.19,22.916,425.15,114.98,0,0
4.7763,10.098,209.56,52.839,14.301,27.013,439.36,124.03,0,0
4.8982,10.327,213.29,53.98,16.187,29.558,455.6,129.2,0,0
4.9738,10.501,216.47,54.971,16.449,29.78,464.87,134.09,0,0
5.1066,10.746,220.26,56.123,17.271,30.51,480.97,140.27,0,0
5.1986,10.987,223.82,57.133,17.251,31.694,483.9,143.48,0,0
5.2707,11.198,227.03,58.081,15.307,30.219,461.58,137.97,0,0
5.3515,11.418,230.42,59.033,11.974,27.58,450.29,129.63,0,0
5.419,11.604,233.5,59.946,10.856,26.632,434.39,124.75,0,0
5.4837,11.767,236.5,60.767,10.61,26.349,429.29,121.31,0,0
5.5735,11.96,239.77,61.71,9.7466,25.258,419.49,117.55,0,0
5.6493,12.116,242.98,62.682,9.4398,23.566,414.2,117.22,0,0
5.7185,12.266,246.01,63.801,9.3998,22.372,411.96,120.95,0,0
5.8021,12.452,249.16,64.836,9.4738,21.699,407.83,122.91,0,0
5.8808,12.602,252.29,65.804,9.7102,21.03,410.57,124.45,0,0
5.9503,12.746,255.27,66.664,9.8251,20.673,413.23,125.62,0,0
6.0352,12.956,258.43,67.574,9.7217,21.07,413.85,125.46,0,0
6.135,13.16,261.46,68.487,10.183,22.017,412.6,125.09,0,0
6.2211,13.328,264.28,69.277,10.497,22.337,412.24,119.25,0,0
6.2816,13.464,267.18,70.05,9.9994,21.353,409.95,114.56,0,0
6.3288,13.591,270.24,70.855,9.3448,20.859,409.55,111.39,0,0
6.3997,13.761,273.16,71.894,9.3512,21.381,409.42,115.33,0,0
6.482,13.912,276.41,72.912,9.2932,20.16,414.13,117.92,0,0
6.5374,14.084,279.96,73.78,8.4246,19.588,426.03,116.93,0,0
6.5813,14.237,283.31,74.743,7.589,19.317,435.29,120.59,0,0
6.6179,14.368,286.09,75.573,7.1088,19.197,433.23,122.2,0,0
